,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MOCOCA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
VAP GAS AUTO POSTO LTDA,"AVENIDA JOAO BATISTA DE LIMA FIGUEIREDO, 3136",Jardim Lavinia,BRANCA,6399,03/05/2022
SATURNO COMBUSTIVEIS EIRELI,"RUA JOSE PEDRO CARVALHO LIMA, 167",S.domingos,BRANCA,6399,03/05/2022
GIZ AUTO POSTO LTDA,"AVENIDA TIRADENTES, 400",Jardim Sta Cecilia,BRANCA,6399,03/05/2022
AUTO POSTO DE ABASTECIMENTO SILVA & SILVA LTDA,"RUA DR. LUIZ CAPRIGLIONI, 01",Jd Santa Cecilia,BRANCA,6399,03/05/2022
BLUE STOP LTDA,"AVENIDA AMERICO PEREIRA LIMA, 31",Jardim Lavinia,BRANCA,6799,03/05/2022
AUTO POSTO COELHO & COELHO LTDA - ME,"RUA DR. JOSE PEDRO DE CARVALHO LIMA, 638",Sao Domingos,BRANCA,6799,03/05/2022
HERO AUTO POSTO LTDA,"AVENIDA JOAO BATISTA DE LIMA FIGUEIREDO, 2973",Centro,VIBRA ENERGIA,6899,03/05/2022
HERO AUTO POSTO LTDA,"RUA BARAO DE MONTE SANTO, 1116",-,BRANCA,6899,03/05/2022
LUWA AUTO POSTO LTDA,"AVENIDA DR AMERICO PEREIRA LIMA, 556",Jardim Lavinia,VIBRA ENERGIA,6999,03/05/2022
MOCAFOR TRATORES E EQUIPAMENTOS AGRICOLAS LTDA,"AVENIDA MONS DEMOSTHENES PARANA BRASIL PONTES, 1900",Jardim Lavinia,RAIZEN,6999,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6699,,,,
DESVIO PADRÃO,267,,,,
VALOR MÍNIMO,6399,,,,
VALOR MÁXIMO,6999,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
