,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BRAGANCA PAULISTA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO 42 LTDA,"RODOVIA ALKINDAR MONTEIRO JUNQUEIRA, 800",Birica do Campo Novo,BRANCA,"6,09",04/05/2022
TAVELA E VALLE LTDA,"AVENIDA JOSE GOMES DA R.LEAL, 717",Centro,BRANCA,"6,296",04/05/2022
VALLE POSTOS DE SERVICOS LTDA,"RUA JOSE DOMINGUES, 669",Taboao,VIBRA ENERGIA,"6,299",04/05/2022
SABELLA & SABELLA LTDA,"AVENIDA DOUTOR PLINIO SALGADO, 5701",Uberaba,RAIZEN,"6,33",04/05/2022
AUTO POSTO SABELLA - JARDINS LTDA,"RUA FELIPE SIQUEIRA, 101",Jardim Santa Luzia,RAIZEN,"6,33",04/05/2022
AUTO POSTO SABELLA LTDA,"PRACA CEL JACINTO OSORIO, 5",Matadouro,RAIZEN,"6,33",04/05/2022
EUROPA EMPREENDIMENTOS LTDA.,"AVENIDA DOS IMIGRANTES, 465",Centro,RAIZEN,"6,59",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,324",,,,
DESVIO PADRÃO,"0,146",,,,
VALOR MÍNIMO,"6,09",,,,
VALOR MÁXIMO,"6,59",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
